ts,open,high,low,close,volume
1787332320,4628.98,4629.18,4625.4,4625.65,
1787332380,4625.65,4625.65,4621.83,4622.91,
1787332440,4622.92,4624.45,4622.12,4623.3,
1787332500,4623.3,4624.3,4622.62,4623.31,
1787332560,4623.31,4624.06,4622.24,4623.87,
1787332620,4623.87,4625.16,4622.13,4622.91,
1787332680,4622.91,4626.04,4622.71,4624.61,
1787332740,4624.61,4625.28,4622.65,4623.21,
1787332800,4623.21,4623.21,4622,4622.34,
1787332860,4622.34,4624.56,4621.99,4623.33,
1787332920,4623.37,4623.45,4619.41,4620.43,
1787332980,4620.4,4620.61,4615.43,4615.59,
1787333040,4615.6,4618.95,4615.47,4618.29,
1787333100,4618.29,4618.98,4616.87,4617.79,
1787333160,4617.8,4617.84,4615.5,4617.57,
1787333220,4617.57,4619.38,4617.18,4619.37,
1787333280,4619.37,4624.58,4619.17,4621.9,
1787333340,4621.89,4623.62,4621.53,4622.1,
1787333400,4622.12,4622.39,4619.68,4620.15,
1787333460,4620.15,4621.74,4619.93,4621.27,
1787333520,4621.27,4621.61,4619.77,4620.14,
1787333580,4620.14,4621.16,4619.77,4620.91,
1787333640,4621,4621.14,4620.19,4620.75,
1787333700,4620.8,4623.82,4620.7,4623.65,
1787333760,4623.65,4624.46,4623.03,4623.6,
1787333820,4623.61,4624.71,4623.52,4623.94,
1787333880,4623.94,4624.1,4623.23,4623.83,
1787333940,4623.83,4623.91,4622.53,4622.83,
1787334000,4622.86,4623.95,4622.6,4623.37,
1787334060,4623.37,4624.6,4622.57,4624.23,
1787334120,4624.23,4624.82,4622.42,4623.04,
1787334180,4623.04,4623.26,4621.94,4623.26,
1787334240,4623.26,4623.26,4618.74,4619.55,
1787334300,4619.52,4619.7,4617.32,4618.24,
1787334360,4618.24,4618.58,4617.03,4618,
1787334420,4618,4618.94,4617.44,4617.81,
1787334480,4617.81,4619.1,4617.51,4618.27,
1787334540,4618.27,4619.96,4618.12,4618.8,
1787334600,4618.8,4620.53,4618.2,4620.02,
1787334660,4620.02,4620.7,4618.24,4619.76,
1787334720,4619.74,4620.13,4619.3,4619.38,
1787334780,4619.38,4620.38,4619.07,4620.01,
1787334840,4620.01,4622.55,4619.53,4619.65,
1787334900,4619.65,4620.4,4619.4,4620.32,
1787334960,4620.32,4620.89,4620.15,4620.27,
1787335020,4620.27,4621.57,4619.98,4621.55,
1787335080,4621.55,4621.56,4620.33,4620.46,
1787335140,4620.46,4620.88,4620.2,4620.57,
1787335200,4620.57,4622.47,4620.35,4622.45,
1787335260,4622.46,4623.03,4622.05,4622.16,
1787335320,4622.14,4624.73,4622,4624.62,
1787335380,4624.62,4626.12,4624.59,4625.96,
1787335440,4625.96,4626.3,4625.91,4626.25,
1787335500,4626.25,4626.31,4624.7,4625.06,
1787335560,4625.05,4625.63,4624.29,4625.12,
1787335620,4625.13,4626.24,4624.84,4625.86,
1787335680,4625.86,4627.73,4625.86,4626.96,
1787335740,4626.96,4626.97,4625.67,4625.87,
1787335800,4625.87,4626.19,4624.65,4624.69,
1787335860,4624.7,4624.73,4623.13,4624.3,
1787335920,4624.3,4624.79,4623.53,4624.22,
